White House
DIYcity
GOP
James Windon
Andrew Sullivan
Lincoln Center
Alexei Navalny
Supreme Court
Illinois
Saul Alinsky
Mike Huckabee
BP
Middle East
Danny O'Brien
San Francisco
Harper Reed
Texas
Brigade
Adriel Hampton
Rev. Jeremiah Wright
Newt Gingrich
Dmitry Medvedev
Dallas
YouTube
Conservative Party
MoveOn
Simon Owens
Sarah Lai Stirland
Macon Phillips
Jose Antonio Vargas
Senator Joe Biden
Chris Kemp
Jacob Colker
Scott Brown
Ferguson
Martha Patzer
Michael McCurry
Eartha Jane Melzer
OFA
OMB
Miss Counter
Alaska
Chris Dodd
Minnesota
La ciencia espanola
Barack Obama
iPhone
President
Rupert Murdoch
Ethernet
C-SPAN
Yemen
European Union
Al Gore
Joshua Boschee
England
Civicist
Committee for Civil Rights Under Law
National Journal
Al Qaeda
CPAC
India
Minneapolis
Defense Advanced Research Projects Agency
Personal Democracy Forum
Nick Judd
Republican National Committee
Aristotle
Skype
Seattle
iPad
Harry Potter
WhiteHouse.gov
Big Media
AdRelevance
Miranda Neubauer
Election Protection Coalition
Democratic National Committee
Colin Delany
Dr. Jeannette Sutton
Harry Potter Alliance
John Edwards
Nancy Scola
Tom Watson
Norway
Lisa Goldman
Iowa
Flattr
ARPANET
New York City
Michigan
State Department
Sarah Palin
Jeff Jarvis
MIT
Federal Communications Commission
Compete.com
Amazon
Facebook
Massachusetts
Matthew Burton
Rufus Gifford
AT&T
America
WoC
New York City Council
Chief Technology Officer
Gene Russianoff
Fast Company
Ted Kennedy
Herman Cain
United States
German Pirate Party
Todd Palin
Senator Bernie Sanders
CIO Vivek Kundra
CauseCast.org
Microsoft
Michigan Messenger
Bunderstag
Donald Trump
Shayna Eglin
Ellyn Shannon
Sweden
PrezVid
Tumblr
American government
PdM
NASA
Sierra Club
Jim Gilliam
Sen. Ted Cruz
Patrick Ruffini
Mexico City
Kevin Wallen
Huffington Post
Members of Parliament
Stanford University
TechPresident
Office of Information and Regulatory Affairs
U.S. Senate
Uber
Allison Arieff
Hollaback
Kate Phillips
Europe
Blue State Digital
Jordan Raynor
Iran
Congress
Chuck Todd
Digby
Guardian
Alex Howard
Jessica McKenzie
Yahoo
CREDO Mobile
TVR
Andrew Slack
California
Open Government
TechCrunch
Brighton
Bill Richardson
U.S. Embassy
North Dakota
White House Office of Science and Technology Policy
Denmark
Michelle Bachmann
Mark Jurkowitz
Sir Tim Berners-Lee
David Cameron
Institute for Government
eBay
Atlanta
Politico
Rudy Giuliani
J Crew
Valdis Krebs
Twitter
Julius Genachowski
UCLA
White House Open Government
Technorati
Britain
The Wall Street Journal
Julian Gomez
FBI
Web 2.0
Steve Crocker
Frank Fahrenkopf
Woodstock Museum
Rick Perry
IPTO
Chicago
Macys
Republican Party
New York Times
Philadelphia
Ari Melber
Fargo
Office and Management and Budget
Foursquare
United Kingdom
Washington Post
Washington DC
Angela Merkel
Jumo
Josh Nelson
Jerry Brito
United Nations
Tom Loosemore
Robert McCulloch
Apple
Virginia
U.S. Food and Drug Administration
Julian Todd
Justin Hart
Federal Government
Germany
NHS
Jim Messina
Alliance of Youth Movements
Sam Brownback
Government Community
iVillage
Washington State Debate Coalition
Bob Metcalfe
Michael Wesch
Bryan Sivak
Obama Administration
Frontier Foundation
Barcelona
SEIU
Barney Frank
Kimberly Chou
Center for Civic Design
Sebastopol
HPA
MTA
Torre Agbar
Martha Lane Fox
Baltimore
Nielsen Online
Media Trust Company
Todd Herman
swish
Joe Trippi
General Services Administration
Obama Vote Protection Center
Egypt
Democratic Party
MySpace
Avaaz
Mitt Romney
John McCain
Marc Ambinder
Office of Management and Budget
Government Technology magazine
OGD
Android
