Name
Micah L. Sifry
Hillary Clinton
Google
Civic Hall
Sunlight Foundation
NationBuilder
Citizinvestor
Abhi Nemani
Clinton Foundation
Andrew Rasiej
Jason Shueh
New York University
Beth Noveck
Clay Shirky
Center for Technology and Civic Life
Pierre Omidyar
Wikipedia
Citizinvestor
Baratunde Thurston
