Name
New York Times
Micah L. Sifry
Hillary Clinton
Barack Obama
Donald Trump
Jessica McKenzie
Twitter
Facebook
John McCain
United States
Nancy Scola
President
New York City
White House
YouTube
Google
America
Sarah Palin
Mitt Romney
Personal Democracy Forum
CIO Vivek Kundra
Congress
European Union
TechPresident
United Kingdom
John Edwards
Politico
Obama Administration
ARPANET
Nick Judd
Harper Reed
Washington DC
San Francisco
Washington Post
NASA
Joshua Boschee
California
Republican Party
Iran
U.S. Senate
Sarah Lai Stirland
Norway
Miranda Neubauer
United Nations
Harry Potter
Hollaback
MTA
Defense Advanced Research Projects Agency
Andrew Slack
OMB
Europe
Civic Hall
Federal Communications Commission
David Cameron
Rick Perry
Dr. Jeannette Sutton
Macon Phillips
Julius Genachowski
Democratic National Committee
Al Qaeda
Jerry Brito
Sunlight Foundation
The Wall Street Journal
Technorati
OGD
Federal Government
NationBuilder
Jim Messina
Michigan Messenger
OFA
Citizinvestor
Mark Jurkowitz
Brigade
WoC
Senator Joe Biden
Jeff Jarvis
AdRelevance
GOP
Supreme Court
State Department
Apple
MoveOn
Bryan Sivak
Microsoft
Chicago
Sierra Club
North Dakota
CPAC
Germany
U.S. Food and Drug Administration
Baltimore
Philadelphia
Jordan Raynor
Todd Herman
Jim Gilliam
Yemen
India
Julian Todd
Abhi Nemani
Republican National Committee
Sacramento
Compete.com
WhiteHouse.gov
Mike Huckabee
Clinton Foundation
iPhone
Flattr
Ferguson
Chief Technology Officer
Rudy Giuliani
German Pirate Party
Angela Merkel
Denmark
Skype
Massachusetts
Democratic Party
Rev. Jeremiah Wright
SEIU
Newt Gingrich
Uber
Macys
Julian Gomez
Digby
Rupert Murdoch
Herman Cain
Ellyn Shannon
James Windon
Bill Richardson
England
Valdis Krebs
IPTO
Members of Parliament
General Services Administration
Tom Loosemore
Ethernet
Ben Smith
Spain
Sym Roe
Nielsen Online
Egypt
Aristotle
Election Protection Coalition
Sweden
Alexei Navalny
Texas
Michigan
Alliance of Youth Movements
Seattle
Huffington Post
Guardian
Saul Alinsky
NHS
UCLA
Tom Watson
Andrew Rasiej
DIYcity
Rufus Gifford
Ari Melber
Michael Wesch
Colin Delany
CauseCast.org
Jumo
Adriel Hampton
Chris Kemp
C Bradley Manning
CNN
Medicare
Bob Taylor
Harry Potter Alliance
BP
Institute for Government
Open Government
Torre Agbar
Alaska
Barcelona
Chris Dodd
Fargo
Mexico City
Sen. Ted Cruz
Al Gore
Avaaz
MIT
Virginia
Kevin Wallen
Josh Nelson
Patrick Ruffini
National Journal
Web 2.0
Bob Metcalfe
Senator Bernie Sanders
Kimberly Chou
Britain
Jose Antonio Vargas
Danny O'Brien
Michael McCurry
Eartha Jane Melzer
Media Trust Company
UNDemocracy
Nepal
CommunityCOUNTS
Michael Bloomberg
Airbnb
Marc Ross
Jake Tapper
mySociety
Jason Shueh
MySpace
Foursquare
New York University
Jacob Colker
Tumblr
TVR
Illinois
Android
Iowa
Justin Hart
Chuck Todd
Alex Howard
Lisa Goldman
Matthew Burton
C-SPAN
HPA
Lincoln Center
Civicist
Fast Company
Miss Counter
Dmitry Medvedev
Beth Noveck
Steve Crocker
Brighton
La ciencia espanola
iPad
Robert McCulloch
DNC
Clay Shirky
Russia
Vietnam
Iain Dale
Library of Congress
JPMorgan Chase & Co.
Florida
South Carolina
Angela Bellisio
Tronc
National Wildlife Federation
Mohammed Morsi
OFQ
CNN
Craig Newmark
Javier Peleaz
EPP
London
Dallas
Government Technology magazine
Washington State Debate Coalition
White House Office of Science and Technology Policy
Big Media
iVillage
Minnesota
Center for Technology and Civic Life
Middle East
Martha Patzer
Todd Palin
Gene Russianoff
Woodstock Museum
Simon Owens
Sir Tim Berners-Lee
Sam Brownback
Martha Lane Fox
Joe Trippi
Atlanta
Frontier Foundation
Blue State Digital
Stanford University
Bunderstag
Pierre Omidyar
Frank Fahrenkopf
PrezVid
CREDO Mobile
Center for Civic Design
swish
Marc Ambinder
AT&T
TechCrunch
Minneapolis
Andrew Sullivan
Shayna Eglin
Conservative Party
Barney Frank
New York City Council
Wikipedia
Committee for Civil Rights Under Law
Michelle Bachmann
U.S. Embassy
Florida
Edward Snowden
Henry Kissinger
Glenn Thrush
Scott Keiferman
Ben Smith
Wired
Pennsylvania
Libya
Vermont
Los Angeles Times
Pete Peterson
Elena Kagan
Kristen Gilibrand
National Journal
Pew
House Government Oversight committee
Chicago Tribune
Citizinvestor
Ryan Sager
BBC
Tim O'Reilley
Oval Office
EFF
George Mason University
PIDB
ABC
Antonella Napolitano
White House Open Government
Obama Vote Protection Center
Office and Management and Budget
Kate Phillips
Ted Kennedy
Allison Arieff
Sebastopol
PdM
Amazon
FBI
Yahoo
Office of Management and Budget
Office of Information and Regulatory Affairs
J Crew
eBay
Scott Brown
American government
Government Community
P.J. Crowley
Jillian York
Joseph Marks
Fox News
Library of Congress
Farhad Manjoo
Mike Gravel
cincy
Tom Brokaw
Gartner
Philippine government
Rome
Mother Jones
Dan Tangherlini
Mine Safety and Health Administration
Baratunde Thurston
ACLU
Chris Matthews
Sam Roudman
Harry Reid
Tribune
Feedburner
California
Matt Yglesias
Ed Felten
Pennsylvania Voter Services
Josh Tauberer
New America Foundation
House Committee on Financial Services
Kim Zetter
David Karpf
Dr. Molly Maloof
Kim Zetter
Miami Dade College
Muhammad
Joe Rospars
WNYC
Reid Wilson
Maplight
Seattle Times
OIG
World of Warcraft
Patrick Ruffini
Malcolm Gladwell
Metropolitan Museum of Art
Wendy M. Grossman
Margaret Sullivan
